Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,day,month,year
1503960366,2016-04-12,1,327,346,12,4,2016
1503960366,2016-04-13,2,384,407,13,4,2016
1503960366,2016-04-15,1,412,442,15,4,2016
1503960366,2016-04-16,2,340,367,16,4,2016
1503960366,2016-04-17,1,700,712,17,4,2016
1503960366,2016-04-19,1,304,320,19,4,2016
1503960366,2016-04-20,1,360,377,20,4,2016
1503960366,2016-04-21,1,325,364,21,4,2016
1503960366,2016-04-23,1,361,384,23,4,2016
1503960366,2016-04-24,1,430,449,24,4,2016
1503960366,2016-04-25,1,277,323,25,4,2016
1503960366,2016-04-26,1,245,274,26,4,2016
1503960366,2016-04-28,1,366,393,28,4,2016
1503960366,2016-04-29,1,341,354,29,4,2016
1503960366,2016-04-30,1,404,425,30,4,2016
1503960366,2016-05-01,1,369,396,1,5,2016
1503960366,2016-05-02,1,277,309,2,5,2016
1503960366,2016-05-03,1,273,296,3,5,2016
1503960366,2016-05-05,1,247,264,5,5,2016
1503960366,2016-05-06,1,334,367,6,5,2016
1503960366,2016-05-07,1,331,349,7,5,2016
1503960366,2016-05-08,1,594,611,8,5,2016
1503960366,2016-05-09,1,338,342,9,5,2016
1503960366,2016-05-10,1,383,403,10,5,2016
1503960366,2016-05-11,1,285,306,11,5,2016
1644430081,2016-04-29,1,119,127,29,4,2016
1644430081,2016-04-30,1,124,142,30,4,2016
1644430081,2016-05-02,1,796,961,2,5,2016
1644430081,2016-05-08,1,137,154,8,5,2016
1844505072,2016-04-15,1,644,961,15,4,2016
1844505072,2016-04-30,1,722,961,30,4,2016
1844505072,2016-05-01,1,590,961,1,5,2016
1927972279,2016-04-12,3,750,775,12,4,2016
1927972279,2016-04-13,1,398,422,13,4,2016
1927972279,2016-04-15,2,475,499,15,4,2016
1927972279,2016-04-26,1,296,315,26,4,2016
1927972279,2016-04-28,1,166,178,28,4,2016
2026352035,2016-04-12,1,503,546,12,4,2016
2026352035,2016-04-13,1,531,565,13,4,2016
2026352035,2016-04-14,1,545,568,14,4,2016
2026352035,2016-04-15,1,523,573,15,4,2016
2026352035,2016-04-16,1,524,567,16,4,2016
2026352035,2016-04-17,1,437,498,17,4,2016
2026352035,2016-04-19,1,498,540,19,4,2016
2026352035,2016-04-20,1,461,510,20,4,2016
2026352035,2016-04-21,1,477,514,21,4,2016
2026352035,2016-04-22,1,520,545,22,4,2016
2026352035,2016-04-23,1,522,554,23,4,2016
2026352035,2016-04-24,1,555,591,24,4,2016
2026352035,2016-04-25,1,506,531,25,4,2016
2026352035,2016-04-27,1,508,545,27,4,2016
2026352035,2016-04-28,1,513,545,28,4,2016
2026352035,2016-04-29,1,490,510,29,4,2016
2026352035,2016-04-30,1,573,607,30,4,2016
2026352035,2016-05-01,1,527,546,1,5,2016
2026352035,2016-05-02,1,511,543,2,5,2016
2026352035,2016-05-04,1,538,560,4,5,2016
2026352035,2016-05-05,1,468,485,5,5,2016
2026352035,2016-05-06,1,524,548,6,5,2016
2026352035,2016-05-07,1,511,521,7,5,2016
2026352035,2016-05-08,1,541,568,8,5,2016
2026352035,2016-05-09,1,531,556,9,5,2016
2026352035,2016-05-10,1,357,380,10,5,2016
2026352035,2016-05-11,1,523,553,11,5,2016
2026352035,2016-05-12,1,456,485,12,5,2016
2320127002,2016-04-23,1,61,69,23,4,2016
2347167796,2016-04-13,1,467,531,13,4,2016
2347167796,2016-04-14,1,445,489,14,4,2016
2347167796,2016-04-15,1,452,504,15,4,2016
2347167796,2016-04-17,1,556,602,17,4,2016
2347167796,2016-04-18,1,500,557,18,4,2016
2347167796,2016-04-19,1,465,514,19,4,2016
2347167796,2016-04-21,1,460,484,21,4,2016
2347167796,2016-04-22,1,405,461,22,4,2016
2347167796,2016-04-23,1,374,386,23,4,2016
2347167796,2016-04-24,1,442,459,24,4,2016
2347167796,2016-04-25,1,433,471,25,4,2016
2347167796,2016-04-26,1,436,490,26,4,2016
2347167796,2016-04-27,1,448,499,27,4,2016
2347167796,2016-04-28,1,408,450,28,4,2016
2347167796,2016-04-29,1,411,473,29,4,2016
